region,order_month,total_revenue
East,2024-01,82190195.39
East,2024-02,75997607.15
East,2024-03,80650312.87
East,2024-04,78367451.22
East,2024-05,81404584.37
East,2024-06,79756225.71
East,2024-07,80446892.74
East,2024-08,82291461.4
East,2024-09,80090366.03
East,2024-10,81171109.34
East,2024-11,78811258.38
East,2024-12,81069844.7
East,2025-01,81047875.44
East,2025-02,74034767.45
East,2025-03,81242672.17
East,2025-04,78921099.19
East,2025-05,82628128.73
East,2025-06,79374916.01
East,2025-07,81028533.34
East,2025-08,82235434.19
East,2025-09,80192824.09
East,2025-10,2915531.97
North,2024-01,82302735.36
North,2024-02,76079081.7
North,2024-03,83058062.42
North,2024-04,79335178.16
North,2024-05,80790696.95
North,2024-06,78872405.91
North,2024-07,82697660.73
North,2024-08,83071012.97
North,2024-09,78196510.29
North,2024-10,81953034.84
North,2024-11,79109091.62
North,2024-12,81623909.51
North,2025-01,82843111.74
North,2025-02,73510927.63
North,2025-03,80417288.98
North,2025-04,79146165.95
North,2025-05,82696906.89
North,2025-06,79422497.67
North,2025-07,80823787.06
North,2025-08,80641880.26
North,2025-09,78590810.86
North,2025-10,2605021.6
South,2024-01,81578480.89
South,2024-02,77583627.95
South,2024-03,81119024.98
South,2024-04,80257393.85
South,2024-05,82056183.12
South,2024-06,79796006.76
South,2024-07,81653437.95
South,2024-08,79825029.0
South,2024-09,80438959.07
South,2024-10,82374264.76
South,2024-11,79026648.46
South,2024-12,81385895.16
South,2025-01,81775698.07
South,2025-02,73062378.5
South,2025-03,80435711.84
South,2025-04,78114779.36
South,2025-05,80727463.33
South,2025-06,78105077.76
South,2025-07,80878894.67
South,2025-08,81389356.32
South,2025-09,79106277.84
South,2025-10,2622235.41
West,2024-01,82335524.5
West,2024-02,78377286.1
West,2024-03,81554181.57
West,2024-04,78068246.01
West,2024-05,82567435.8
West,2024-06,79045450.85
West,2024-07,80407960.78
West,2024-08,81393763.26
West,2024-09,78882039.11
West,2024-10,82856289.01
West,2024-11,79880202.03
West,2024-12,81456788.7
West,2025-01,81080199.71
West,2025-02,73716495.48
West,2025-03,82624554.19
West,2025-04,79957967.84
West,2025-05,81111350.47
West,2025-06,78807348.71
West,2025-07,81932048.09
West,2025-08,82034939.05
West,2025-09,78999127.57
West,2025-10,2849792.32
