region,order_month,total_revenue
East,2024-01,8.219019539000005E7
East,2024-02,7.599760714999998E7
East,2024-03,8.065031287E7
East,2024-04,7.836745122000003E7
East,2024-05,8.140458437000002E7
East,2024-06,7.975622571E7
East,2024-07,8.044689274000004E7
East,2024-08,8.229146140000002E7
East,2024-09,8.009036603E7
East,2024-10,8.117110933999999E7
East,2024-11,7.881125837999994E7
East,2024-12,8.106984469999999E7
East,2025-01,8.104787544000001E7
East,2025-02,7.403476745E7
East,2025-03,8.124267217000012E7
East,2025-04,7.892109918999997E7
East,2025-05,8.262812872999996E7
East,2025-06,7.937491600999999E7
East,2025-07,8.102853333999997E7
East,2025-08,8.223543418999994E7
East,2025-09,8.019282409000006E7
East,2025-10,2915531.9699999997
North,2024-01,8.230273535999998E7
North,2024-02,7.607908169999996E7
North,2024-03,8.305806241999997E7
North,2024-04,7.933517816000001E7
North,2024-05,8.079069694999997E7
North,2024-06,7.887240591E7
North,2024-07,8.269766072999999E7
North,2024-08,8.307101297E7
North,2024-09,7.819651029E7
North,2024-10,8.195303483999994E7
North,2024-11,7.910909162E7
North,2024-12,8.162390950999999E7
North,2025-01,8.284311173999995E7
North,2025-02,7.351092763000004E7
North,2025-03,8.041728898000002E7
North,2025-04,7.914616594999996E7
North,2025-05,8.269690689E7
North,2025-06,7.942249766999991E7
North,2025-07,8.082378705999997E7
North,2025-08,8.064188026000002E7
North,2025-09,7.859081086000003E7
North,2025-10,2605021.5999999996
South,2024-01,8.157848089E7
South,2024-02,7.758362795000003E7
South,2024-03,8.111902497999999E7
South,2024-04,8.025739384999996E7
South,2024-05,8.205618311999995E7
South,2024-06,7.979600675999999E7
South,2024-07,8.165343794999996E7
South,2024-08,7.9825029E7
South,2024-09,8.043895906999996E7
South,2024-10,8.237426476000004E7
South,2024-11,7.902664846000004E7
South,2024-12,8.138589516E7
South,2025-01,8.177569807000005E7
South,2025-02,7.306237850000003E7
South,2025-03,8.043571183999994E7
South,2025-04,7.811477936E7
South,2025-05,8.072746332999997E7
South,2025-06,7.810507775999999E7
South,2025-07,8.087889467000002E7
South,2025-08,8.138935631999995E7
South,2025-09,7.910627784000005E7
South,2025-10,2622235.41
West,2024-01,8.233552449999997E7
West,2024-02,7.837728609999998E7
West,2024-03,8.155418157E7
West,2024-04,7.80682460099999E7
West,2024-05,8.256743579999998E7
West,2024-06,7.904545085000001E7
West,2024-07,8.040796078000003E7
West,2024-08,8.139376325999998E7
West,2024-09,7.888203910999995E7
West,2024-10,8.285628900999998E7
West,2024-11,7.988020203E7
West,2024-12,8.145678870000005E7
West,2025-01,8.108019971E7
West,2025-02,7.371649548000002E7
West,2025-03,8.262455418999992E7
West,2025-04,7.995796784000002E7
West,2025-05,8.111135047E7
West,2025-06,7.880734871000007E7
West,2025-07,8.193204808999997E7
West,2025-08,8.203493904999994E7
West,2025-09,7.899912757000004E7
West,2025-10,2849792.32
