category,product_name,total_revenue,units_sold
Electronics,Headphones,227576858.09,49668
Fashion,Sneakers,227448662.39,49526
Beauty,Sunscreen,226912363.78,49598
Sports,Football,226537453.11,49292
Home & Kitchen,Cookware Set,226326383.13,49431
Beauty,Lipstick,226299112.33,49480
Beauty,Shampoo,226160200.56,49521
Beauty,Perfume,225989530.16,49517
Home & Kitchen,Lamp,225864217.1,49354
Home & Kitchen,Air Fryer,225786343.44,49318
Electronics,Laptop,225692084.92,49503
Fashion,Saree,225356869.22,49261
Books,Comic,225302725.61,49311
Electronics,Smartphone,225118205.0,49240
Sports,Cycling Helmet,224950510.46,49078
Home & Kitchen,Mixer Grinder,224871193.71,49267
Sports,Cricket Bat,224867809.86,49155
Books,Biography,224718760.52,49384
Fashion,Jacket,224348924.89,49165
Electronics,Smartwatch,224335313.01,49026
