category,product_name,total_revenue,units_sold
Electronics,Headphones,2.275768580899999E8,49668
Fashion,Sneakers,2.2744866239000008E8,49526
Beauty,Sunscreen,2.2691236378000018E8,49598
Sports,Football,2.265374531100002E8,49292
Home & Kitchen,Cookware Set,2.263263831299999E8,49431
Beauty,Lipstick,2.2629911232999992E8,49480
Beauty,Shampoo,2.2616020056E8,49521
Beauty,Perfume,2.2598953016000006E8,49517
Home & Kitchen,Lamp,2.2586421710000014E8,49354
Home & Kitchen,Air Fryer,2.2578634343999985E8,49318
Electronics,Laptop,2.2569208492000002E8,49503
Fashion,Saree,2.2535686921999988E8,49261
Books,Comic,2.2530272560999978E8,49311
Electronics,Smartphone,2.251182049999996E8,49240
Sports,Cycling Helmet,2.2495051045999986E8,49078
Home & Kitchen,Mixer Grinder,2.2487119370999992E8,49267
Sports,Cricket Bat,2.2486780985999998E8,49155
Books,Biography,2.2471876051999995E8,49384
Fashion,Jacket,2.2434892488999975E8,49165
Electronics,Smartwatch,2.243353130100003E8,49026
